,title,order,body,A,B,C,D,E,resposta,resolucao
0,"Questão 136 de Matemática e suas Tecnologias da prova ENEM/2022: (ENEM 2022)Em uma universidade,",1,"<div class=""dangerous-html""><p>(ENEM 2022)</p><p style=""text-align:justify"">Em uma universidade, atuam professores que estão enquadrados funcionalmente pela sua maior titulação: mestre ou doutor. Nela há, atualmente, 60 mestres e 40 doutores. Os salários mensais dos professores mestres e dos doutores são, respectivamente, R$ 8 000,00 e R$ 12 000,00.</p><p style=""text-align:justify"">A diretoria da instituição pretende proporcionar um aumento salarial diferenciado para o ano seguinte, de tal forma que o salário médio mensal dos professores dessa instituição não ultrapasse R$ 12 240,00. A universidade já estabeleceu que o aumento salarial será de 25% para os mestres e precisa ainda definir o percentual de reajuste para os doutores.</p><p style=""text-align:justify"">Mantido o número atual de professores com suas atuais titulações, o aumento salarial, em porcentagem, a ser concedido aos doutores deverá ser de, no máximo,</p></div>","<div class=""exercise-answer__content dangerous-html"">14,4.</div>","<div class=""exercise-answer__content dangerous-html"">20,7.</div>","<div class=""exercise-answer__content dangerous-html"">22,0.</div>","<div class=""exercise-answer__content dangerous-html"">30,0.</div>","<div class=""exercise-answer__content dangerous-html"">37,5.</div>",D,"<div><p>Vamos fazer uma média ponderada após os respectivos aumentos de 25% para os mestres e x% para os doutores. Assim, temos:</p><p style=""text-align:center""><img data-filename=""58724"" src=""https://raw.githubusercontent.com/NiedsonEmanoel/CDN_ENEMASTER/main/EnemasterParts/MjAyMi0xMS0yMCAyMzoyNTo1NSArMDAwMDQxNjAwNw==.png""></p><p><br></p></div>"
1,Questão 137 de Matemática e suas Tecnologias da prova ENEM/2022: (ENEM 2022),2,"<div class=""dangerous-html""><p>(ENEM 2022)&nbsp;</p><p style=""text-align:justify"">Um borrifador de atuação automática libera, a cada acionamento, uma mesma quantidade de inseticida. O recipiente desse produto, quando cheio, contém 360 mL de inseticida, que duram 60 dias se o borrifador permanecer ligado ininterruptamente e for acionado a cada 48 minutos.</p><p style=""text-align:justify"">A quantidade de inseticida que é liberada a cada acionamento do borrifador, em mililitro, é</p></div>","<div class=""exercise-answer__content dangerous-html""><div>0,125.</div></div>","<div class=""exercise-answer__content dangerous-html"">0,200.</div>","<div class=""exercise-answer__content dangerous-html"">4,800.</div>","<div class=""exercise-answer__content dangerous-html"">6,000.</div>","<div class=""exercise-answer__content dangerous-html"">12,000.</div>",B,"<div><p>Considere <strong>n</strong>&nbsp;o número de vezes que ele é acionado e <strong>q</strong>&nbsp;a quantidade de inseticida por acionamento. Portanto,&nbsp;</p><p><img src=""https://raw.githubusercontent.com/NiedsonEmanoel/CDN_ENEMASTER/main/EnemasterParts/MjAyMi0xMS0yMCAyMzoyMzo0NyArMDAwMDgzNzM4OA==.png"" data-filename=""58723""></p><p>Resposta correta: B</p><p></p></div>"
2,Questão 138 de Matemática e suas Tecnologias da prova ENEM/2022: (ENEM 2022)Definem-se o dia e o,3,"<div class=""dangerous-html""><p>(ENEM 2022)</p><p style=""text-align:justify"">Definem-se o dia e o ano de um planeta de um sistema solar como sendo, respectivamente, o tempo que o planeta leva para dar 1 volta completa em tomo de seu próprio eixo de rotação e o tempo para dar 1 volta completa em tomo de seu Sol.</p><p style=""text-align:justify"">Suponha que exista um planeta Z, em algum sistema solar, onde um dia corresponda a 73 dias terrestres e que 2 de seus anos correspondam a 1 ano terrestre. Considere que 1 ano terrestre tem 365 de seus dias.<br></p><p style=""text-align:justify"">No planeta Z, seu ano corresponderia a quantos de seus dias?</p><div style=""text-align:justify""><br></div></div>","<div class=""exercise-answer__content dangerous-html""><div>2,5</div></div>","<div class=""exercise-answer__content dangerous-html"">10,0</div>","<div class=""exercise-answer__content dangerous-html"">730,0&nbsp;</div>","<div class=""exercise-answer__content dangerous-html"">13 322,5</div>","<div class=""exercise-answer__content dangerous-html""><div>53 290,0</div></div>",A,"<div><p>Pelo enunciado, temos:</p><p>1 dia em z= 73 dias na Terra =&nbsp;<img data-size=""1"" data-latex=""%5Cfrac%7B73%7D%7B365%7D%20=%5Cfrac%7B1%7D%7B5%7D"" src=""https://raw.githubusercontent.com/NiedsonEmanoel/CDN_ENEMASTER/main/EnemasterParts/MjAyMi0xMS0yMSAwMTozNDozNyArMDAwMDkzMDM4OQ==.png"">&nbsp;de ano na Terra.</p><p>Logo,</p><p>5 dias em z= 5 *&nbsp;<img src=""https://raw.githubusercontent.com/NiedsonEmanoel/CDN_ENEMASTER/main/EnemasterParts/MjAyMi0xMS0yMSAwMTozNDozOCArMDAwMDIxNTY2OQ==.png"" data-latex=""%5Cfrac%7B1%7D%7B5%7D"" data-size=""1"">= 1 ano na Terra.</p><p>Como no enunciado diz que 2 anos em z corresponde a 1 ano na Terra, então:</p><p>2 anos em z = 5 dias em z.</p><p>=&gt; 1 ano em z =&nbsp;<img data-size=""1"" data-latex=""%5Cfrac%7B5%7D%7B2%7D"" src=""https://raw.githubusercontent.com/NiedsonEmanoel/CDN_ENEMASTER/main/EnemasterParts/MjAyMi0xMS0yMSAwMTozNDozOCArMDAwMDMzMDY5.png"">&nbsp;dias em z.</p><p>=&gt; 1 ano em z = <strong>2,5 dias em z</strong></p><p><br></p><p><br></p><p>Resolução fornecida em parceria com Colégio Ari de Sá e SAS Plataforma de Educação</p></div>"
3,Questão 139 de Matemática e suas Tecnologias da prova ENEM/2022: (ENEM 2022)Em uma competição de,4,"<div><p style=""text-align:justify"">(ENEM 2022)</p><p style=""text-align:justify"">Em uma competição de velocidade, diz-se que há uma ultrapassagem quando um veículo que está atrás de outro passa à sua frente, com ambos se deslocando no mesmo sentido. Considere uma competição automobilística entre cinco carros em uma pista com 100 m de comprimento, onde todos largam no mesmo instante e da mesma linha. O gráfico mostra a variação da distância percorrida por cada veículo, em função do tempo, durante toda a competição.</p><p style=""text-align:center""><img src=""https://raw.githubusercontent.com/NiedsonEmanoel/CDN_ENEMASTER/main/EnemasterParts/MjAyMi0xMS0yMCAyMjozMzoxMyArMDAwMDExMjM0OA==.png"" data-filename=""58675""></p><p>Qual o número de ultrapassagens, após o início da competição, efetuadas pelo veículo que chegou em último lugar?</p></div>","<div class=""exercise-answer__content dangerous-html"">0</div>","<div class=""exercise-answer__content dangerous-html"">1</div>","<div class=""exercise-answer__content dangerous-html"">2</div>","<div class=""exercise-answer__content dangerous-html"">3</div>","<div class=""exercise-answer__content dangerous-html"">4</div>",A,"<div><p></p><div style=""text-align:center""><img data-filename=""58778"" src=""https://raw.githubusercontent.com/NiedsonEmanoel/CDN_ENEMASTER/main/EnemasterParts/MjAyMi0xMS0yMSAwMToxNjoyMCArMDAwMDgzMTkw.png""></div>Em dois pontos destacados no gráfico (A e B), percebemos que houve ultrapassagens, mas em nenhuma delas o carro que chegou por último estava atrás; logo, ele, o último, foi ultrapassado.<br>Assim, afirmamos que não existiu nenhuma ultrapassagem feita pelo último lugar.<br><br><br><span></span><br><p></p></div>"
4,"Questão 140 de Matemática e suas Tecnologias da prova ENEM/2022: (ENEM 2022)Em uma loja, o preço",5,"<div class=""dangerous-html"">(ENEM 2022)<br><br><div style=""text-align:justify"">Em uma loja, o preço promocional de uma geladeira é de R$1 000,00 para pagamento somente em dinheiro. Seu preço normal, fora da promoção, é 10% maior. Para pagamento feito com o cartão de crédito da loja, é dado um desconto de 2% sobre o preço normal.</div><div style=""text-align:justify""><br></div><div style=""text-align:justify"">Uma cliente decidiu comprar essa geladeira, optando pelo pagamento com o cartão de crédito da loja. Ela calculou que o valor a ser pago seria o preço promocional acrescido de 8%. Ao ser informada pela loja do valor a pagar, segundo sua opção, percebeu uma diferença entre seu cálculo e o valor que lhe foi apresentado.</div><div style=""text-align:justify""><br></div><div style=""text-align:justify"">O valor apresentado pela loja, comparado ao valor calculado pela cliente, foi</div><div style=""text-align:justify""><br></div></div>","<div class=""exercise-answer__content dangerous-html"">R$ 2,00 menor.</div>","<div class=""exercise-answer__content dangerous-html"">R$ 100,00 menor.</div>","<div class=""exercise-answer__content dangerous-html"">R$ 200,00 menor.</div>","<div class=""exercise-answer__content dangerous-html"">R$ 42,00 maior.</div>","<div class=""exercise-answer__content dangerous-html"">R$ 80,00 maior.</div>",A,"<div><p>Pelo enunciado, percebemos que:<br><br>I. Pagando em dinheiro = 1 000 reais</p><p>II. Preço normal =&nbsp;<img data-filename=""58740"" src=""https://raw.githubusercontent.com/NiedsonEmanoel/CDN_ENEMASTER/main/EnemasterParts/MjAyMi0xMS0yMSAwMDoyNjoxNiArMDAwMDM5NzczNQ==.png""></p><p>III. Pagando no cartão da loja =&nbsp;<img data-filename=""58742"" src=""https://raw.githubusercontent.com/NiedsonEmanoel/CDN_ENEMASTER/main/EnemasterParts/MjAyMi0xMS0yMSAwMDoyNzowOSArMDAwMDgwMTMxNA==.png""></p><p>Como a cliente pagou no cartão da loja, deve pagar 1 078 reais, mas ela achou que deveria pagar:</p><p><img src=""https://raw.githubusercontent.com/NiedsonEmanoel/CDN_ENEMASTER/main/EnemasterParts/MjAyMi0xMS0yMSAwMDoyNzo0NyArMDAwMDE0MjU4NA==.png"" data-filename=""58743""></p><p>Portanto, o valor apresentado pela loja é 2 reais menor que o calculado pela cliente.</p><p><strong>Resposta correta: A</strong></p><p><br></p></div>"
5,Questão 141 de Matemática e suas Tecnologias da prova ENEM/2022: (ENEM 2022)Uma pessoa precisa s,6,"<div><p>(ENEM 2022)</p><p style=""text-align:justify"">Uma pessoa precisa se deslocar de automóvel do ponto <i>P</i> para o ponto <i>Q</i>, indicados na figura, na qual as linhas verticais e horizontais simbolizam ruas.</p><p style=""text-align:center""><img src=""https://raw.githubusercontent.com/NiedsonEmanoel/CDN_ENEMASTER/main/EnemasterParts/MjAyMi0xMS0yMCAyMjozMTozMyArMDAwMDM0ODM4.png"" data-filename=""58672""></p><p style=""text-align:justify"">Por causa do sentido de tráfego nessas ruas, o caminho poligonal destacado é a possibilidade mais curta de efetuar esse deslocamento. Para descrevê-lo, deve-se especificar qual o sentido a ser tomado em cada cruzamento de ruas, em relação à direção de deslocamento do automóvel, que se movimentará continuamente. Para isso, empregam-se as letras E, F e D para indicar ""vire à esquerda"", ""siga em frente"" e ""vire à direita"", respectivamente.</p><p>A sequência de letras que descreve o caminho poligonal destacado é</p></div>","<div class=""exercise-answer__content dangerous-html"">DDEFDDEEFFD.</div>","<div class=""exercise-answer__content dangerous-html""><div>DFEFDDDEFFD.</div></div>","<div class=""exercise-answer__content dangerous-html"">DFEFDDEEFFD.</div>","<div class=""exercise-answer__content dangerous-html""><div>EFDFEEDDFFE.</div></div>","<div class=""exercise-answer__content dangerous-html"">EFDFEEEDFFE.</div>",C,"<div><p style=""text-align:center""></p><div style=""text-align:left"">De acordo com as instruções no enunciado e observando o gráfico, temos a sequência DFEFDDEEFFD</div><img src=""https://raw.githubusercontent.com/NiedsonEmanoel/CDN_ENEMASTER/main/EnemasterParts/MjAyMi0xMS0yMSAwMDo1ODo1MiArMDAwMDIxMzkxMg==.png"" data-filename=""58771""><p></p></div>"
6,Questão 142 de Matemática e suas Tecnologias da prova ENEM/2022: (ENEM 2022),7,"<div class=""dangerous-html""><p>(ENEM 2022)&nbsp;</p><p style=""text-align:justify"">Uma loja comercializa cinco modelos de caixas-d'água (I, II, III, IV e V), todos em formato de cilindro reto de base circular. Os modelos II, III, IV e V têm as especificações de suas dimensões dadas em relação às dimensões do modelo I, cuja profundidade é <i>P</i> e área da base é <i>A</i><sub>b</sub>, como segue:</p><div><div style=""text-align:justify"">• modelo II: o dobro da profundidade e a metade da área da base do modelo I;</div><div style=""text-align:justify"">• modelo III: o dobro da profundidade e a metade do raio da base do modelo I;</div><div style=""text-align:justify"">• modelo IV: a metade da profundidade e o dobro da área da base do modelo I;</div><div style=""text-align:justify"">• modelo V: a metade da profundidade e o dobro do raio da base do modelo I.</div></div><div style=""text-align:justify""><br></div><div><div style=""text-align:justify"">Uma pessoa pretende comprar nessa loja o modelo de caixa-d'água que ofereça a maior capacidade volumétrica.</div><div style=""text-align:justify""><br></div><div style=""text-align:justify"">O modelo escolhido deve ser o</div></div></div>","<div class=""exercise-answer__content dangerous-html"">I.</div>","<div class=""exercise-answer__content dangerous-html"">II.</div>","<div class=""exercise-answer__content dangerous-html"">III.</div>","<div class=""exercise-answer__content dangerous-html"">IV.</div>","<div class=""exercise-answer__content dangerous-html"">V.</div>",E,"<div><p style=""text-align:center""><img data-filename=""58823"" src=""https://raw.githubusercontent.com/NiedsonEmanoel/CDN_ENEMASTER/main/EnemasterParts/MjAyMi0xMS0yMSAxMjo1Njo1NCArMDAwMDI0MDE2NQ==.png""></p><p style=""text-align:justify""><br></p></div>"
7,Questão 143 de Matemática e suas Tecnologias da prova ENEM/2022: (ENEM 2022),8,"<div><p>(ENEM 2022)&nbsp;</p><p style=""text-align:justify"">No período de 2005 a 2013, o valor de venda dos imóveis em uma cidade apresentou alta, o que resultou no aumento dos aluguéis. Os gráficos apresentam a evolução desses valores, para um mesmo imóvel, no mercado imobiliário dessa cidade.</p><p style=""text-align:center""><img src=""https://raw.githubusercontent.com/NiedsonEmanoel/CDN_ENEMASTER/main/EnemasterParts/MjAyMi0xMS0yMCAyMjozMDoxNiArMDAwMDI2MjMyNw==.png"" data-filename=""58668""></p><p style=""text-align:justify"">A rentabilidade do aluguel de um imóvel é calculada pela razão entre o valor mensal de aluguel e o valor de mercado desse imóvel.</p><p style=""text-align:justify"">Com base nos dados fornecidos, em que ano a rentabilidade do aluguel foi maior?</p></div>","<div class=""exercise-answer__content dangerous-html"">2005</div>","<div class=""exercise-answer__content dangerous-html"">2007</div>","<div class=""exercise-answer__content dangerous-html"">2009</div>","<div class=""exercise-answer__content dangerous-html"">2011</div>","<div class=""exercise-answer__content dangerous-html"">2013</div>",B,"<div><p>Calculando a rentabilidade para cada ano, temos:<br><br></p><div style=""text-align:center""><img src=""https://raw.githubusercontent.com/NiedsonEmanoel/CDN_ENEMASTER/main/EnemasterParts/MjAyMi0xMS0yMSAwMDo0MjoyMCArMDAwMDQxMTk5MQ==.png"" data-filename=""58749""></div><p></p><div>Portanto, a maior rentabilidade foi em 2007.</div><div><div><br></div><div><strong>Resposta correta: B</strong></div><div><br></div><div><br></div></div></div>"
8,Questão 144 de Matemática e suas Tecnologias da prova ENEM/2022: (ENEM 2022)Ao escutar a notícia,9,"<div class=""dangerous-html""><p>(ENEM 2022)</p><p style=""text-align:justify"">Ao escutar a notícia de que um filme recém-lançado arrecadou, no primeiro mês de lançamento, R$ 1,35 bilhão em bilheteria, um estudante escreveu corretamente o número que representa essa quantia, com todos os seus algarismos.</p><p style=""text-align:justify"">O número escrito pelo estudante foi</p></div>","<div class=""exercise-answer__content dangerous-html""><p>135 000,00.</p></div>","<div class=""exercise-answer__content dangerous-html""><p>1 350 000,00.</p></div>","<div class=""exercise-answer__content dangerous-html""><p>13 500 000,00.<br></p></div>","<div class=""exercise-answer__content dangerous-html""><p>135 000 000,00.<br></p></div>","<div class=""exercise-answer__content dangerous-html""><p>1 350 000 000,00.<br></p></div>",E,"<div class=""dangerous-html""><p>Lembrando...</p><p>Mil ➛ 1 000 (10³)</p><p>Milhão&nbsp;➛ 1 000 000 (<span style=""font-size:1em"">10</span><span style=""font-size:1em""><span>5</span></span>)&nbsp;</p><p>Bilhão&nbsp;➛ 1 000 000 000 (<span style=""font-size:1em"">10</span><span style=""font-size:1em""><span>9</span></span>)</p><p>De acordo com o enunciado, temos: 1,35 bilhão = 1,35 .&nbsp;<span style=""font-size:1em"">10</span><span style=""font-size:1em""><span>9  </span></span>= 135 .&nbsp;<span style=""font-size:1em"">10</span><span style=""font-size:1em""><span>7</span></span>&nbsp;= 1 350 000 000</p><p><strong>Resposta correta: E</strong></p><p><br></p></div>"
9,Questão 145 de Matemática e suas Tecnologias da prova ENEM/2022: (ENEM 2022)O governo de um esta,10,"<div><p>(ENEM 2022)</p><p style=""text-align:justify"">O governo de um estado pretende realizar uma obra de infraestrutura para auxiliar na integração e no processo de escoamento da produção agrícola de duas cidades. O projeto consiste na interligação direta das cidades A e B com a Rodovia 003, pela construção das Rodovias 001 e 002. As duas rodovias serão construídas em linha reta e deverão se conectar à Rodovia 003 em um mesmo ponto, conforme esboço apresentado na figura, na qual estão também indicadas as posições das cidades A e B, considerando o eixo <i>x</i> posicionado sobre a Rodovia 003, e cinco localizações sugeridas para o ponto de conexão entre as três rodovias.</p><p style=""text-align:center""><img src=""https://raw.githubusercontent.com/NiedsonEmanoel/CDN_ENEMASTER/main/EnemasterParts/MjAyMi0xMS0yMCAyMjozMzozNiArMDAwMDk3MzQ0Mw==.png"" data-filename=""58676""><br></p><p><span style=""text-align:justify"">Pretende-se que a distância percorrida entre as duas cidades, pelas Rodovias 001 e 002, passando pelo ponto de conexão, seja a menor possível. </span></p><p><span style=""text-align:justify"">Dadas as exigências do projeto, qual das localizações sugeridas deve ser a escolhida para o ponto de conexão?</span></p></div>","<div class=""exercise-answer__content dangerous-html""><p>I</p></div>","<div class=""exercise-answer__content dangerous-html""><p>II</p></div>","<div class=""exercise-answer__content dangerous-html""><p>III</p></div>","<div class=""exercise-answer__content dangerous-html""><p>IV</p></div>","<div class=""exercise-answer__content dangerous-html""><p>V</p></div>",D,"<div><p style=""text-align:center""><img src=""https://raw.githubusercontent.com/NiedsonEmanoel/CDN_ENEMASTER/main/EnemasterParts/MjAyMi0xMS0yMSAwMTo0MjozOSArMDAwMDIyNTk3MA==.png"" data-filename=""58796""></p><p style=""text-align:justify"">A menor distância possível de A a B, passando pelo ponto de conexão na Rodovia 003, é obtida tomando o simétrico A' de A em relação à rodovia 003. Dessa forma, ligando A' ao ponto B, obtemos que o triângulo APA', que é isósceles com AP = A' P, e a menor distância possível de A para P e de P para B. Vamos mostrar que qualquer outro caminho é maior que o mostrado.</p><p style=""text-align:justify"">Seja Q um outro ponto que, vamos supor, seja o que faz com que de A para Q e de Q para B seja o menor possível. No triângulo A'QB, podemos concluir que AQ + QB &gt; A' B.</p><p style=""text-align:justify"">Logo, o ponto P, correspondente a IV, é a resposta do nosso problema.</p></div>"
